keys,en,ru
MAIN MENU,MAIN MENU,ГЛАВНОЕ МЕНЮ
NEW GAME,NEW GAME,НОВАЯ ИГРА
SETTINGS,SETTINGS,НАСТРОЙКИ
CREDITS,CREDITS,ОБ ИГРЕ
QUIT,QUIT,ВЫХОД
VOLUME,VOLUME,ГРОМКОСТЬ
GAME SPEED,GAME SPEED,СКОРОСТЬ ИГРЫ
BACK,BACK,НАЗАД
DISPLAY MODE,DISPLAY MODE,РЕЖИМ ОТОБРАЖЕНИЯ
WINDOWED,WINDOWED,ОКОННЫЙ РЕЖИМ
FULL SCREEN,FULL SCREEN,ПОЛНЫЙ ЭКРАН
DEFEAT,DEFEAT,ПОРАЖЕНИЕ
VICTORY,VICTORY,ПОБЕДА
VICTORY_CREDITS_TEXT,"You won, great job!","Победа!"
OVERLOAD_ABOVE_BAR,[center]OVERLOAD[/center],[center]ПЕРЕГРУЗКА[/center]
OVERLOAD_IN_POWER_TOOLTIP,OVERLOAD,ПЕРЕГРУЗКА
WAVES LEFT,WAVES LEFT,ОСТАЛОСЬ ВОЛН
AVAILABLE POWERS,AVAILABLE POWERS,ДОСТУПНЫЕ УМЕНИЯ
ACTIVE POWERS,ACTIVE POWERS,АКТИВНЫЕ УМЕНИЯ
ACTIVATE,ACTIVATE,АКТИВИРОВАТЬ
END TURN,END TURN,КОНЕЦ ХОДА
ENEMY TURN,ENEMY TURN,ХОД ПРОТИВНИКА
CHOOSE REWARD,CHOOSE REWARD,ВЫБРАТЬ НАГРАДУ
DAMAGE,DAMAGE,УРОН
USES,USES,РАЗ
ENERGY,ENERGY,ЭНЕРГИЯ
LOSE_POWER_PART_1,"MAKES YOU\nLOSE","ПОХИЩАЕТ\n"
LOSE_POWER_PART_2,"POWER",УМЕНИЕ
POWER LOST,POWER LOST,УМЕНИЕ ПОТЕРЯНО
REWARD_TITLE,CHOOSE YOUR REWARD:,ВЫБЕРИТЕ НАГРАДУ:
RETURN_POWERS_REWARD,"[center]RETURN ALL POWERS[/center]","[center]ВЕРНУТЬ ВСЕ УМЕНИЯ\nИ ПОТЕРЯТЬ\n1 ЗДОРОВЬЕ[/center]"
ADD_POWER_REWARD,"[center]GET NEW POWER[/center]","[center]ПОЛУЧИТЬ НОВОЕ УМЕНИЕ\nИ ПОЛУЧИТЬ\n1 ЗДОРОВЬЕ[/center]"
THANKS_FOR_PLAYING,[center]THANKS FOR PLAYING[/center],[center]СПАСИБО ЗА ИГРУ[/center]
CREDITS_MADE_BY,[center]Art: Daireann\nCoding: Woona[/center],"[center]Графика: Daireann\nКод: Woona[/center]"
CREDITS_JAM,[center]Godot Wild Jam 65[/center],[center]Godot Wild Jam 65[/center]
CREDITS_THEME,[center]Theme: OVERLOAD[/center],[center]Тема: OVERLOAD[/center]
CREDITS_ENGINE,[center]Powered by Godot Engine 4.2[/center],[center]Движок Godot Engine 4.2[/center]
VISIT ITCH.IO,VISIT ITCH.IO,НА САЙТ ITCH.IO
TOOLTIP_HEALTH,"Your health\nWhen it reaches 0, you die","Здоровье\nКогда оно достигает 0, ты умираешь"
TOOLTIP_DEFEND,"Your defense\nBlocks incoming damage","Защита\nБлокирует урон противников"
TOOLTIP_ENEMY_ATTACK,"Enemies in this wave attack you,\ndestroying themselves in the process","Противники в этой волне атакуют,\nпринося себя в жертву"
TOOLTIP_ENEMY_MOVE,"Enemies is this wave move towards you","Противники в этой волне двигаются к тебе"
TOOLTIP_OVERLOAD,"Your OVERLOAD meter\nUsing powers fills it\nWhen full, your abilities unlock hidden potential,\nbut any undefended damage kills you\nMaximum depends on your health","Счётчик ПЕРЕГРУЗКИ\nИспользование умений заполняет его\nКогда счётчик полон, твои умения становятся сильнее,\nно любой незаблокированный урон убивает тебя"
RETURN_POWERS_UNAVAILABLE_HINT,Cannot return Powers when you have just 1 hp,Нельзя вернуть умения пока 1 тебя только 1 здоровье
ENEMY_BASIC,Fighter,Боец
ENEMY_ARMORED,Tank,Танк
ENEMY_THIEF,Thief,Вор
ENEMY_BOSS,Boss,Босс
CONFIRM_DIALOG,ARE YOU SURE?,ВЫ УВЕРЕНЫ?
OK,OK,ДА
CANCEL,CANCEL,ОТМЕНА
QUIT_DIALOG_TEXT,Are you sure you want to quit? All progress will be lost,Точно выйти? Игра не сохранится
NO_POWERS_DIALOG_TEXT,You have not activated any powers. Continue?,Не активировано ни одного умения. Продолжить?
UNUSED_DIALOG_TEXT,You have some powers left to use. Continue?,Вы не использовали все свои умения. Продолжить?